time (ms) ,v(mv),A(ma), w(mw), o/f, 0_v(mv),  0_A(ma), 0_watt(mw), 0_o/f, 0_in, 1_v(mv), 1_A(ma), 1_watt(mw), 1_o/f,  1_in,  chksum8-2,  chksum8-xor
0000922910,15315,0413,06325,0,04994,0435,02172,1,00,11990,0216,02589,1,00,b5,1d
0000922960,15312,0415,06354,0,04994,0430,02147,1,00,11991,0217,02602,1,00,be,1e
0000923009,15323,0396,06068,0,04993,0433,02162,1,00,11987,0219,02625,1,00,ac,14
0000923060,15314,0421,06447,0,04993,0424,02117,1,00,11990,0216,02589,1,00,b9,15
0000923110,15320,0406,06220,0,04994,0434,02167,1,00,11990,0218,02613,1,00,cb,19
0000923160,15319,0417,06388,0,04994,0431,02152,1,00,11988,0217,02601,1,00,b3,11
0000923210,15311,0411,06293,0,04994,0432,02157,1,00,11989,0217,02601,1,00,c3,17
0000923260,15322,0400,06129,0,04992,0435,02171,1,00,11989,0217,02601,1,00,c3,17
0000923311,15320,0414,06342,0,04994,0433,02162,1,00,11988,0220,02637,1,00,c4,1a
0000923360,15314,0420,06432,0,04994,0430,02147,1,00,11986,0214,02565,1,00,bf,15
0000923410,15319,0402,06158,0,04993,0432,02157,1,00,11989,0220,02637,1,00,b7,19
0000923460,15319,0415,06357,0,04995,0431,02152,1,00,11987,0217,02601,1,00,b6,1a
0000923509,15315,0410,06279,0,04994,0431,02152,1,00,11989,0217,02601,1,00,b7,1f
0000923560,15320,0401,06143,0,04994,0424,02117,1,00,11988,0216,02589,1,00,b8,1a
0000923611,15312,0427,06538,0,04993,0432,02157,1,00,11989,0218,02613,1,00,b1,19
0000923660,15317,0407,06234,0,04992,0434,02166,1,00,11987,0215,02577,1,00,ac,14
0000923710,15324,0400,06129,0,04994,0429,02142,1,00,11988,0218,02613,1,00,bb,15
0000923759,15311,0405,06200,0,04992,0433,02161,1,00,11987,0216,02589,1,00,b4,1e
0000923810,15317,0402,06157,0,04995,0431,02152,1,00,11987,0217,02601,1,00,bf,1b
0000923860,15323,0399,06113,0,04993,0437,02182,1,00,11986,0219,02625,1,00,a8,1a
0000923910,15317,0425,06509,0,04993,0439,02192,1,00,11990,0220,02637,1,00,b1,15
0000923960,15313,0398,06094,0,04994,0434,02167,1,00,11989,0217,02601,1,00,a5,1f
0000924009,15319,0398,06097,0,04994,0432,02157,1,00,11987,0217,02601,1,00,a6,1c
0000924060,15312,0406,06216,0,04993,0434,02167,1,00,11990,0216,02589,1,00,b7,15
0000924110,15317,0403,06173,0,04993,0435,02172,1,00,11989,0218,02613,1,00,bc,10
0000924160,15321,0407,06235,0,04993,0432,02157,1,00,11988,0216,02589,1,00,b0,18
0000924210,15312,0427,06538,0,04993,0435,02172,1,00,11986,0217,02601,1,00,bc,18
0000924260,15318,0406,06219,0,04993,0432,02157,1,00,11987,0217,02601,1,00,b7,13
0000924310,15322,0397,06082,0,04993,0439,02192,1,00,11987,0214,02565,1,00,ad,13
0000924359,15315,0425,06509,0,04994,0434,02167,1,00,11990,0215,02578,1,00,a5,19
0000924410,15309,0409,06261,0,04993,0430,02147,1,00,11987,0218,02613,1,00,b9,1d
0000924459,15321,0411,06297,0,04993,0437,02182,1,00,11988,0219,02625,1,00,a5,1f
0000924511,15319,0417,06388,0,04993,0428,02137,1,00,11986,0220,02636,1,00,aa,16
0000924560,15314,0412,06309,0,04992,0431,02151,1,00,11989,0216,02589,1,00,b3,15
0000924610,15319,0393,06020,0,04992,0430,02146,1,00,11985,0219,02624,1,00,bc,1a
0000924660,15318,0422,06464,0,04993,0421,02102,1,00,11986,0217,02601,1,00,c0,1e
0000924709,15318,0406,06219,0,04992,0433,02161,1,00,11988,0219,02625,1,00,ab,1b
0000924759,15316,0409,06264,0,04994,0428,02137,1,00,11987,0219,02625,1,00,9d,15
0000924810,15320,0421,06450,0,04992,0428,02136,1,00,11989,0220,02637,1,00,bd,19
0000924860,15313,0419,06416,0,04993,0431,02152,1,00,11988,0220,02637,1,00,b5,1d
0000924910,15316,0396,06065,0,04994,0426,02127,1,00,11988,0215,02577,1,00,a4,1c
0000924960,15322,0419,06420,0,04994,0432,02157,1,00,11986,0216,02589,1,00,a9,17
0000925010,15310,0407,06231,0,04992,0432,02156,1,00,11987,0221,02649,1,00,c5,1d
0000925059,15315,0413,06325,0,04993,0430,02147,1,00,11987,0219,02625,1,00,b2,16
0000925110,15315,0411,06294,0,04993,0429,02142,1,00,11987,0219,02625,1,00,b8,1e
0000925159,15312,0418,06400,0,04993,0431,02152,1,00,11988,0217,02601,1,00,bf,19
0000925211,15318,0399,06112,0,04992,0428,02136,1,00,11987,0216,02589,1,00,a8,12
0000925260,15322,0407,06236,0,04995,0428,02137,1,00,11989,0216,02589,1,00,a6,10
0000925309,15312,0406,06216,0,04994,0431,02152,1,00,11990,0217,02601,1,00,c6,1e
0000925360,15321,0406,06220,0,04993,0429,02142,1,00,11989,0221,02649,1,00,ba,1a
0000925410,15318,0400,06127,0,04993,0437,02182,1,00,11985,0218,02612,1,00,bd,19
0000925459,15314,0425,06508,0,04994,0434,02167,1,00,11988,0222,02661,1,00,a7,19
0000925510,15318,0410,06280,0,04994,0438,02187,1,00,11991,0220,02638,1,00,b6,1c
0000925560,15323,0403,06175,0,04993,0429,02142,1,00,11988,0218,02613,1,00,b4,1c
0000925609,15316,0424,06494,0,04994,0437,02182,1,00,11991,0215,02578,1,00,a2,16
0000925659,15319,0413,06327,0,04993,0435,02172,1,00,11990,0218,02613,1,00,ad,1f
0000925710,15317,0418,06402,0,04993,0426,02127,1,00,11989,0219,02625,1,00,b0,18
0000925760,15311,0418,06400,0,04994,0426,02127,1,00,11989,0217,02601,1,00,ba,14
0000925809,15321,0391,05990,0,04993,0428,02137,1,00,11990,0217,02601,1,00,ae,16
0000925860,15317,0423,06479,0,04994,0430,02147,1,00,11988,0217,02601,1,00,ab,1b
0000925909,15318,0401,06142,0,04992,0432,02156,1,00,11985,0216,02588,1,00,ad,1d
0000925959,15317,0407,06234,0,04995,0439,02193,1,00,11987,0220,02637,1,00,9e,16
0000926010,15313,0417,06385,0,04993,0430,02147,1,00,11990,0218,02613,1,00,c0,12
0000926060,15321,0403,06174,0,04992,0438,02186,1,00,11988,0215,02577,1,00,ae,1c
0000926110,15316,0402,06157,0,04994,0429,02142,1,00,11986,0221,02648,1,00,ba,16
0000926159,15313,0428,06554,0,04994,0434,02167,1,00,11987,0216,02589,1,00,9b,11
0000926210,15321,0396,06067,0,04992,0428,02136,1,00,11992,0216,02590,1,00,b4,1a
0000926260,15320,0406,06220,0,04994,0432,02157,1,00,11986,0219,02625,1,00,bc,1e
0000926310,15322,0411,06297,0,04993,0438,02187,1,00,11989,0217,02601,1,00,b1,17
0000926359,15310,0420,06430,0,04993,0434,02167,1,00,11989,0219,02625,1,00,b0,18
0000926411,15322,0395,06052,0,04995,0428,02137,1,00,11989,0220,02637,1,00,b0,1c
0000926460,15317,0430,06586,0,04992,0429,02141,1,00,11988,0217,02601,1,00,b1,1f
0000926510,15317,0413,06326,0,04993,0438,02187,1,00,11985,0217,02600,1,00,b5,13
0000926559,15321,0412,06312,0,04995,0431,02152,1,00,11990,0217,02601,1,00,c3,1f
0000926610,15312,0406,06217,0,04993,0432,02157,1,00,11989,0217,02601,1,00,bc,18
0000926660,15317,0404,06188,0,04995,0430,02148,1,00,11990,0220,02637,1,00,b2,1e
0000926710,15329,0406,06223,0,04993,0430,02147,1,00,11989,0217,02601,1,00,b9,15
0000926760,15312,0432,06615,0,04994,0427,02132,1,00,11990,0217,02601,1,00,bf,17
0000926811,15319,0406,06219,0,04993,0442,02206,1,00,11990,0221,02649,1,00,b5,13
0000926860,15327,0411,06299,0,04993,0435,02172,1,00,11989,0219,02625,1,00,a1,1f
0000926909,15311,0404,06185,0,04993,0436,02177,1,00,11990,0218,02613,1,00,ae,14
